0,"0.076*""effect"" + 0.033*""liquid"" + 0.033*""field"" + 0.030*""induc"" + 0.025*""substrat"" + 0.025*""transistor"" + 0.018*""select"" + 0.017*""thermal"" + 0.016*""surfac"" + 0.015*""reson"""
1,"0.058*""magnet"" + 0.049*""control"" + 0.038*""temperatur"" + 0.031*""sensit"" + 0.023*""tunabl"" + 0.023*""dielectr"" + 0.018*""devic"" + 0.018*""room"" + 0.017*""plasmon"" + 0.015*""mos2"""
2,"0.048*""film"" + 0.037*""solut"" + 0.035*""thin"" + 0.032*""optic"" + 0.028*""studi"" + 0.028*""storag"" + 0.023*""stabil"" + 0.023*""chemic"" + 0.018*""mechan"" + 0.018*""ni"""
3,"0.072*""carbon"" + 0.036*""nanotub"" + 0.032*""singl"" + 0.032*""materi"" + 0.024*""perovskit"" + 0.022*""perform"" + 0.020*""layer"" + 0.020*""cell"" + 0.019*""anod"" + 0.017*""structur"""
4,"0.050*""2017"" + 0.044*""structur"" + 0.032*""electron"" + 0.029*""mater"" + 0.029*""adv"" + 0.029*""transport"" + 0.026*""s"" + 0.022*""engin"" + 0.020*""cluster"" + 0.020*""properti"""
5,"0.082*""cell"" + 0.054*""solar"" + 0.031*""model"" + 0.026*""perovskit"" + 0.025*""nanostructur"" + 0.022*""absorpt"" + 0.021*""ionic"" + 0.019*""behavior"" + 0.016*""1"" + 0.016*""blue"""
6,"0.057*""self"" + 0.038*""assembl"" + 0.035*""water"" + 0.029*""low"" + 0.028*""dope"" + 0.021*""nanosheet"" + 0.020*""composit"" + 0.020*""hybrid"" + 0.020*""polym"" + 0.019*""2d"""
7,"0.048*""spin"" + 0.041*""3d"" + 0.031*""hierarch"" + 0.031*""evolut"" + 0.027*""stabl"" + 0.026*""a"" + 0.025*""reaction"" + 0.023*""integr"" + 0.021*""enabl"" + 0.021*""effici"""
8,"0.060*""crystal"" + 0.037*""photon"" + 0.034*""x"" + 0.028*""2"" + 0.022*""time"" + 0.020*""protein"" + 0.019*""bioinspir"" + 0.019*""reveal"" + 0.016*""free"" + 0.016*""determin"""
9,"0.046*""polym"" + 0.036*""process"" + 0.031*""near"" + 0.031*""cell"" + 0.028*""high"" + 0.022*""larg"" + 0.020*""porous"" + 0.018*""solar"" + 0.015*""cnt"" + 0.015*""sulfid"""
10,"0.027*""charg"" + 0.026*""cation"" + 0.019*""silicon"" + 0.016*""contact"" + 0.016*""heterojunct"" + 0.015*""ferromagnet"" + 0.014*""vitro"" + 0.014*""air"" + 0.013*""separ"" + 0.013*""transform"""
11,"0.044*""design"" + 0.033*""generat"" + 0.031*""dual"" + 0.027*""molecul"" + 0.025*""via"" + 0.024*""function"" + 0.020*""polymer"" + 0.019*""growth"" + 0.017*""control"" + 0.016*""a"""
12,"0.045*""batteri"" + 0.045*""nanowir"" + 0.042*""lithium"" + 0.038*""sensor"" + 0.035*""high"" + 0.030*""base"" + 0.026*""ion"" + 0.026*""silver"" + 0.025*""23"" + 0.021*""ultrathin"""
13,"0.030*""power"" + 0.026*""electrod"" + 0.026*""driven"" + 0.025*""nanocomposit"" + 0.023*""synthesi"" + 0.022*""shell"" + 0.020*""like"" + 0.020*""imag"" + 0.020*""core"" + 0.020*""p"""
14,"0.041*""direct"" + 0.028*""membran"" + 0.026*""spectroscopi"" + 0.025*""co"" + 0.024*""alloy"" + 0.023*""tio2"" + 0.019*""hole"" + 0.018*""oxid"" + 0.015*""exchang"" + 0.014*""facil"""
15,"0.039*""small"" + 0.030*""the"" + 0.030*""dimension"" + 0.026*""molecular"" + 0.024*""complex"" + 0.024*""two"" + 0.022*""format"" + 0.020*""a"" + 0.019*""confin"" + 0.017*""atom"""
16,"0.052*""metal"" + 0.049*""quantum"" + 0.043*""transit"" + 0.027*""enhanc"" + 0.027*""hydrogen"" + 0.023*""strain"" + 0.022*""nanogener"" + 0.020*""interact"" + 0.020*""dot"" + 0.019*""scatter"""
17,"0.072*""high"" + 0.049*""graphen"" + 0.044*""perform"" + 0.039*""flexibl"" + 0.034*""light"" + 0.018*""effici"" + 0.018*""base"" + 0.014*""film"" + 0.014*""3"" + 0.014*""long"""
18,"0.046*""system"" + 0.039*""energi"" + 0.032*""resist"" + 0.031*""batteri"" + 0.025*""li"" + 0.025*""transfer"" + 0.020*""cancer"" + 0.020*""ion"" + 0.018*""improv"" + 0.018*""cathod"""
19,"0.056*""use"" + 0.056*""organ"" + 0.033*""perovskit"" + 0.032*""in"" + 0.025*""sodium"" + 0.024*""framework"" + 0.023*""inorgan"" + 0.020*""dynam"" + 0.020*""toward"" + 0.018*""network"""
